State,County,Year,LabourForce,Employed,Unemployed
Alabama,Autauga,2019,26172,25458,714
Alabama,Baldwin,2019,97328,94675,2653
Alabama,Barbour,2019,8537,8213,324
Alabama,Bibb,2019,8685,8419,266
Alabama,Blount,2019,25331,24655,676
Alabama,Bullock,2019,4818,4643,175
Alabama,Butler,2019,9263,8925,338
Alabama,Calhoun,2019,46209,44574,1635
Alabama,Chambers,2019,15748,15286,462
Alabama,Cherokee,2019,11604,11266,338
Alabama,Chilton,2019,19818,19280,538
Alabama,Choctaw,2019,4670,4452,218
Alabama,Clarke,2019,7557,7121,436
Alabama,Clay,2019,6101,5918,183
Alabama,Cleburne,2019,5806,5623,183
Alabama,Coffee,2019,21402,20779,623
Alabama,Colbert,2019,23646,22761,885
Alabama,Conecuh,2019,4533,4353,180
Alabama,Coosa,2019,4549,4414,135
Alabama,Covington,2019,15653,15119,534
Alabama,Crenshaw,2019,6476,6293,183
Alabama,Cullman,2019,38646,37648,998
Alabama,Dale,2019,20724,20082,642
Alabama,Dallas,2019,14711,13904,807
Alabama,DeKalb,2019,31052,30182,870
Alabama,Elmore,2019,37565,36586,979
Alabama,Escambia,2019,14762,14248,514
Alabama,Etowah,2019,42723,41295,1428
Alabama,Fayette,2019,6579,6372,207
Alabama,Franklin,2019,14696,14291,405
Alabama,Geneva,2019,11045,10725,320
Alabama,Greene,2019,2883,2722,161
Alabama,Hale,2019,6119,5878,241
Alabama,Henry,2019,6944,6697,247
Alabama,Houston,2019,46234,44844,1390
Alabama,Jackson,2019,23484,22712,772
Alabama,Jefferson,2019,318755,309664,9091
Alabama,Lamar,2019,5849,5670,179
Alabama,Lauderdale,2019,42548,41160,1388
Alabama,Lawrence,2019,14306,13859,447
Alabama,Lee,2019,76580,74500,2080
Alabama,Limestone,2019,43854,42700,1154
Alabama,Lowndes,2019,3587,3383,204
Alabama,Macon,2019,7850,7513,337
Alabama,Madison,2019,185219,180505,4714
Alabama,Marengo,2019,7694,7423,271
Alabama,Marion,2019,12932,12486,446
Alabama,Marshall,2019,44085,42999,1086
Alabama,Mobile,2019,189107,182083,7024
Alabama,Monroe,2019,7329,6973,356
Alabama,Montgomery,2019,105777,102517,3260
Alabama,Morgan,2019,58271,56771,1500
Alabama,Perry,2019,3413,3235,178
Alabama,Pickens,2019,7923,7647,276
Alabama,Pike,2019,15428,14924,504
Alabama,Randolph,2019,9639,9347,292
Alabama,Russell,2019,23896,23198,698
Alabama,Shelby,2019,115939,113414,2525
Alabama,St. Clair,2019,40532,39441,1091
Alabama,Sumter,2019,4854,4635,219
Alabama,Talladega,2019,35769,34556,1213
Alabama,Tallapoosa,2019,18652,18096,556
Alabama,Tuscaloosa,2019,104964,102122,2842
Alabama,Walker,2019,25347,24517,830
Alabama,Washington,2019,6800,6487,313
Alabama,Wilcox,2019,2739,2544,195
Alabama,Winston,2019,10041,9705,336
Alaska,Aleutians East Borough,2019,2428,2360,68
Alaska,Aleutians West Census Area,2019,3606,3477,129
Alaska,Anchorage Borough/municipality,2019,146949,139526,7423
Alaska,Bethel Census Area,2019,7025,6120,905
Alaska,Bristol Bay Borough,2019,441,414,27
Alaska,Denali Borough,2019,1038,950,88
Alaska,Dillingham Census Area,2019,1938,1781,157
Alaska,Fairbanks North Star Borough,2019,44652,42248,2404
Alaska,Haines Borough,2019,1111,1012,99
Alaska,Hoonah-Angoon Census Area,2019,1160,1028,132
Alaska,Juneau Borough/city,2019,16999,16243,756
Alaska,Kenai Peninsula Borough,2019,26161,24383,1778
Alaska,Ketchikan Gateway Borough,2019,6884,6456,428
Alaska,Kodiak Island Borough,2019,5912,5582,330
Alaska,Kusilvak Census Area,2019,2682,2164,518
Alaska,Lake and Peninsula Borough,2019,708,638,70
Alaska,Matanuska-Susitna Borough,2019,46901,43661,3240
Alaska,Nome Census Area,2019,4036,3596,440
Alaska,North Slope Borough,2019,3485,3261,224
Alaska,Northwest Arctic Borough,2019,2934,2523,411
Alaska,Petersburg Borough,2019,1388,1267,121
Alaska,Prince of Wales-Hyder Census Area,2019,2851,2562,289
Alaska,Sitka Borough/city,2019,4336,4155,181
Alaska,Skagway Municipality,2019,822,746,76
Alaska,Southeast Fairbanks Census Area,2019,2810,2558,252
Alaska,Valdez-Cordova Census Area,2019,4815,4452,363
Alaska,Wrangell Borough/city,2019,1002,925,77
Alaska,Yakutat Borough/city,2019,246,227,19
Alaska,Yukon-Koyukuk Census Area,2019,2458,2113,345
Arizona,Apache,2019,20487,18468,2019
Arizona,Cochise,2019,50594,47695,2899
Arizona,Coconino,2019,77507,73206,4301
Arizona,Gila,2019,21677,20485,1192
Arizona,Graham,2019,15351,14608,743
Arizona,Greenlee,2019,4520,4342,178
Arizona,La Paz,2019,9334,8789,545
Arizona,Maricopa,2019,2310503,2217656,92847
Arizona,Mohave,2019,87792,82815,4977
Arizona,Navajo,2019,40979,37973,3006
Arizona,Pima,2019,498695,476620,22075
Arizona,Pinal,2019,187480,178309,9171
Arizona,Santa Cruz,2019,19636,17963,1673
Arizona,Yavapai,2019,106880,102138,4742
Arizona,Yuma,2019,99824,83437,16387
Arkansas,Arkansas,2019,9427,9141,286
Arkansas,Ashley,2019,7751,7333,418
Arkansas,Baxter,2019,16296,15646,650
Arkansas,Benton,2019,137211,133610,3601
Arkansas,Boone,2019,16036,15525,511
Arkansas,Bradley,2019,4483,4298,185
Arkansas,Calhoun,2019,2453,2345,108
Arkansas,Carroll,2019,12783,12383,400
Arkansas,Chicot,2019,3285,3057,228
Arkansas,Clark,2019,9691,9323,368
Arkansas,Clay,2019,5691,5413,278
Arkansas,Cleburne,2019,9226,8808,418
Arkansas,Cleveland,2019,3219,3092,127
Arkansas,Columbia,2019,9140,8730,410
Arkansas,Conway,2019,8285,7926,359
Arkansas,Craighead,2019,55652,54097,1555
Arkansas,Crawford,2019,26922,26028,894
Arkansas,Crittenden,2019,21422,20512,910
Arkansas,Cross,2019,7411,7097,314
Arkansas,Dallas,2019,2840,2706,134
Arkansas,Desha,2019,5402,5161,241
Arkansas,Drew,2019,7864,7456,408
Arkansas,Faulkner,2019,62431,60556,1875
Arkansas,Franklin,2019,7494,7242,252
Arkansas,Fulton,2019,4962,4763,199
Arkansas,Garland,2019,41346,39809,1537
Arkansas,Grant,2019,8403,8136,267
Arkansas,Greene,2019,20065,19366,699
Arkansas,Hempstead,2019,9951,9571,380
Arkansas,Hot Spring,2019,14019,13509,510
Arkansas,Howard,2019,5711,5525,186
Arkansas,Independence,2019,16527,15868,659
Arkansas,Izard,2019,4912,4643,269
Arkansas,Jackson,2019,5840,5460,380
Arkansas,Jefferson,2019,27740,26220,1520
Arkansas,Johnson,2019,10278,9809,469
Arkansas,Lafayette,2019,2466,2351,115
Arkansas,Lawrence,2019,6817,6533,284
Arkansas,Lee,2019,2833,2706,127
Arkansas,Lincoln,2019,3950,3777,173
Arkansas,Little River,2019,5518,5280,238
Arkansas,Logan,2019,8583,8210,373
Arkansas,Lonoke,2019,34468,33359,1109
Arkansas,Madison,2019,7427,7238,189
Arkansas,Marion,2019,6673,6406,267
Arkansas,Miller,2019,19750,18941,809
