State,County,Year,LabourForce,Employed,Unemployed
Arkansas,Columbia,2016,9281,8753,528
Florida,Columbia,2016,29705,28263,1442
Georgia,Columbia,2016,70932,67640,3292
New York,Columbia,2016,31460,30301,1159
Oregon,Columbia,2016,23612,22171,1441
Pennsylvania,Columbia,2016,33883,32012,1871
Washington,Columbia,2016,1716,1604,112
Wisconsin,Columbia,2016,31623,30485,1138
Ohio,Columbiana,2016,48366,45115,3251
North Carolina,Columbus,2016,22596,21149,1447
California,Colusa,2016,10901,9205,1696
Texas,Comal,2016,65468,63103,2365
Kansas,Comanche,2016,970,940,30
Oklahoma,Comanche,2016,49487,47211,2276
Texas,Comanche,2016,5356,5126,230
Puerto Rico,Comerio Municipio,2016,5072,4389,683
Texas,Concho,2016,1331,1286,45
Louisiana,Concordia Parish,2016,7250,6651,599
Alabama,Conecuh,2016,4567,4184,383
Colorado,Conejos,2016,3768,3585,183
California,Contra Costa,2016,553145,528400,24745
Wyoming,Converse,2016,7873,7381,492
Arkansas,Conway,2016,8439,7958,481
Georgia,Cook,2016,7511,7105,406
Illinois,Cook,2016,2660740,2500024,160716
Minnesota,Cook,2016,3104,2964,140
Texas,Cooke,2016,18907,18158,749
Missouri,Cooper,2016,7494,7125,369
New Hampshire,Coos,2016,14642,14090,552
Oregon,Coos,2016,26434,24745,1689
Alabama,Coosa,2016,4399,4137,262
Mississippi,Copiah,2016,11286,10553,733
Puerto Rico,Corozal Municipio,2016,9250,8114,1136
South Dakota,Corson,2016,1454,1389,65
New York,Cortland,2016,22982,21673,1309
Texas,Coryell,2016,24407,23269,1138
Ohio,Coshocton,2016,14989,13920,1069
Colorado,Costilla,2016,1727,1644,83
Texas,Cottle,2016,525,498,27
Oklahoma,Cotton,2016,2892,2754,138
Minnesota,Cottonwood,2016,5551,5154,397
Alabama,Covington,2016,15556,14509,1047
Mississippi,Covington,2016,8161,7719,442
Virginia,Covington city,2016,2380,2239,141
Georgia,Coweta,2016,70287,66795,3492
Kansas,Cowley,2016,16891,16143,748
Washington,Cowlitz,2016,44769,41559,3210
Oklahoma,Craig,2016,6258,5956,302
Virginia,Craig,2016,2347,2234,113
Arkansas,Craighead,2016,52147,50456,1691
Texas,Crane,2016,1705,1559,146
North Carolina,Craven,2016,41759,39576,2183
Arkansas,Crawford,2016,26907,25860,1047
Georgia,Crawford,2016,5668,5334,334
Iowa,Crawford,2016,8414,7954,460
Illinois,Crawford,2016,9026,8463,563
Indiana,Crawford,2016,4999,4717,282
Kansas,Crawford,2016,18894,17984,910
Michigan,Crawford,2016,5365,4959,406
Missouri,Crawford,2016,10846,10266,580
Ohio,Crawford,2016,19163,18001,1162
Pennsylvania,Crawford,2016,40485,38059,2426
Wisconsin,Crawford,2016,7934,7547,387
Oklahoma,Creek,2016,31526,29697,1829
Alabama,Crenshaw,2016,6480,6101,379
Georgia,Crisp,2016,9174,8621,553
Arkansas,Crittenden,2016,21573,20600,973
Kentucky,Crittenden,2016,4022,3809,213
Tennessee,Crockett,2016,6861,6503,358
Texas,Crockett,2016,1735,1605,130
Oregon,Crook,2016,9341,8693,648
Wyoming,Crook,2016,3737,3565,172
Texas,Crosby,2016,2620,2506,114
Arkansas,Cross,2016,7871,7523,348
Minnesota,Crow Wing,2016,31944,30322,1622
Colorado,Crowley,2016,1421,1371,50
Texas,Culberson,2016,1000,959,41
Puerto Rico,Culebra Municipio,2016,896,866,30
Alabama,Cullman,2016,38064,36179,1885
Virginia,Culpeper,2016,23416,22499,917
Illinois,Cumberland,2016,5981,5670,311
Kentucky,Cumberland,2016,2890,2724,166
Maine,Cumberland,2016,161698,156997,4701
North Carolina,Cumberland,2016,127339,119205,8134
New Jersey,Cumberland,2016,66246,61285,4961
Pennsylvania,Cumberland,2016,130077,124806,5271
Tennessee,Cumberland,2016,23475,22088,1387
Virginia,Cumberland,2016,4598,4384,214
Nebraska,Cuming,2016,4711,4575,136
North Carolina,Currituck,2016,13153,12487,666
New Mexico,Curry,2016,21969,20872,1097
Oregon,Curry,2016,9043,8432,611
Colorado,Custer,2016,2016,1953,63
Idaho,Custer,2016,2144,2035,109
Montana,Custer,2016,6246,6026,220
Nebraska,Custer,2016,6345,6196,149
Oklahoma,Custer,2016,15210,14519,691
South Dakota,Custer,2016,3993,3833,160
Ohio,Cuyahoga,2016,617505,583926,33579
Georgia,Dade,2016,8004,7600,404
Missouri,Dade,2016,3591,3431,160
Utah,Daggett,2016,463,439,24
Minnesota,Dakota,2016,235892,227902,7990
Nebraska,Dakota,2016,10895,10443,452
Alabama,Dale,2016,20043,18888,1155
Texas,Dallam,2016,3998,3909,89
Alabama,Dallas,2016,15480,14059,1421
Arkansas,Dallas,2016,2977,2833,144
Iowa,Dallas,2016,45693,44488,1205
Missouri,Dallas,2016,6967,6584,383
Texas,Dallas,2016,1298058,1245964,52094
Wisconsin,Dane,2016,318231,309163,9068
Montana,Daniels,2016,936,912,24
Virginia,Danville city,2016,19085,17916,1169
North Carolina,Dare,2016,20004,18654,1350
Ohio,Darke,2016,26364,25272,1092
South Carolina,Darlington,2016,29960,28087,1873
Pennsylvania,Dauphin,2016,142071,135314,6757
North Carolina,Davidson,2016,79516,75690,3826
Tennessee,Davidson,2016,372624,359204,13420
North Carolina,Davie,2016,20172,19265,907
Indiana,Daviess,2016,15972,15407,565
Kentucky,Daviess,2016,46674,44577,2097
Missouri,Daviess,2016,4122,3963,159
Iowa,Davis,2016,4278,4096,182
Utah,Davis,2016,164341,159150,5191
South Dakota,Davison,2016,11237,10968,269
Nebraska,Dawes,2016,5208,5054,154
Georgia,Dawson,2016,11313,10784,529
Montana,Dawson,2016,4608,4431,177
Nebraska,Dawson,2016,12949,12566,383
Texas,Dawson,2016,4638,4406,232
South Dakota,Day,2016,2858,2737,121
New Mexico,De Baca,2016,833,794,39
Louisiana,De Soto Parish,2016,10888,10088,800
Illinois,De Witt,2016,7941,7489,452
Texas,Deaf Smith,2016,8606,8338,268
Indiana,Dearborn,2016,25596,24390,1206
Georgia,Decatur,2016,11455,10694,761
Iowa,Decatur,2016,4393,4252,141
Indiana,Decatur,2016,14553,14035,518
Kansas,Decatur,2016,1291,1240,51
Tennessee,Decatur,2016,4644,4325,319
Montana,Deer Lodge,2016,5304,5103,201
Ohio,Defiance,2016,18373,17461,912
Alabama,DeKalb,2016,29355,27582,1773
Georgia,DeKalb,2016,382087,361505,20582
Illinois,DeKalb,2016,55182,52231,2951
Indiana,DeKalb,2016,22232,21361,871
Missouri,DeKalb,2016,5092,4869,223
Tennessee,DeKalb,2016,7520,7103,417
California,Del Norte,2016,9753,9019,734
Iowa,Delaware,2016,10698,10327,371
Indiana,Delaware,2016,55079,52254,2825
New York,Delaware,2016,19220,18159,1061
Ohio,Delaware,2016,104813,101003,3810
Oklahoma,Delaware,2016,17984,17105,879
Pennsylvania,Delaware,2016,294104,279800,14304
Colorado,Delta,2016,13949,13263,686
Michigan,Delta,2016,17114,15992,1122
Texas,Delta,2016,2606,2507,99
Alaska,Denali Borough,2016,1093,994,99
Missouri,Dent,2016,6213,5878,335
Texas,Denton,2016,451787,436317,15470
Colorado,Denver,2016,384721,372773,11948
Iowa,Des Moines,2016,19986,18998,988
Oregon,Deschutes,2016,89853,85483,4370
Arkansas,Desha,2016,5437,5141,296
Florida,DeSoto,2016,13447,12741,706
Mississippi,DeSoto,2016,87344,83679,3665
Nebraska,Deuel,2016,1059,1032,27
South Dakota,Deuel,2016,2239,2130,109
Oklahoma,Dewey,2016,2677,2569,108
South Dakota,Dewey,2016,2251,2049,202
Texas,DeWitt,2016,9495,8977,518
Texas,Dickens,2016,691,657,34
Virginia,Dickenson,2016,4570,4112,458
North Dakota,Dickey,2016,2545,2496,49
Iowa,Dickinson,2016,10273,9831,442
Kansas,Dickinson,2016,9157,8752,405
Michigan,Dickinson,2016,12501,11852,649
Tennessee,Dickson,2016,24696,23623,1073
Alaska,Dillingham Census Area,2016,2075,1875,200
South Carolina,Dillon,2016,12708,11845,863
Texas,Dimmit,2016,6236,5792,444
Virginia,Dinwiddie,2016,13428,12767,661
North Dakota,Divide,2016,1683,1639,44
Florida,Dixie,2016,5640,5334,306
Nebraska,Dixon,2016,3065,2964,101
West Virginia,Doddridge,2016,3780,3584,196
Georgia,Dodge,2016,7004,6495,509
Minnesota,Dodge,2016,11596,11166,430
Nebraska,Dodge,2016,19107,18521,586
Wisconsin,Dodge,2016,47942,46196,1746
Colorado,Dolores,2016,1071,1029,42
New Mexico,Dona Ana,2016,95598,88827,6771
Kansas,Doniphan,2016,4269,4104,165
Texas,Donley,2016,1556,1493,63
Georgia,Dooly,2016,4942,4656,286
Wisconsin,Door,2016,15530,14761,769
Puerto Rico,Dorado Municipio,2016,12924,11882,1042
Maryland,Dorchester,2016,15926,14933,993
South Carolina,Dorchester,2016,73287,69918,3369
Georgia,Dougherty,2016,38098,35492,2606
Colorado,Douglas,2016,177371,172638,4733
Georgia,Douglas,2016,70108,66215,3893
Illinois,Douglas,2016,10282,9797,485
Kansas,Douglas,2016,65198,62893,2305
Minnesota,Douglas,2016,20299,19593,706
Missouri,Douglas,2016,5089,4780,309
Nebraska,Douglas,2016,287660,278127,9533
Nevada,Douglas,2016,22243,20995,1248
Oregon,Douglas,2016,45693,42826,2867
South Dakota,Douglas,2016,1671,1629,42
Washington,Douglas,2016,20504,19087,1417
Wisconsin,Douglas,2016,23606,22369,1237
Arkansas,Drew,2016,7977,7525,452
Indiana,Dubois,2016,23392,22664,728
Iowa,Dubuque,2016,54537,52594,1943
Utah,Duchesne,2016,8113,7391,722
Massachusetts,Dukes,2016,9349,8866,483
Nebraska,Dundy,2016,1194,1168,26
Missouri,Dunklin,2016,12857,11798,1059
North Dakota,Dunn,2016,3247,3145,102
Wisconsin,Dunn,2016,24363,23368,995
Illinois,DuPage,2016,516207,491840,24367
North Carolina,Duplin,2016,26506,25094,1412
North Carolina,Durham,2016,162115,154825,7290
New York,Dutchess,2016,143032,137076,5956
Florida,Duval,2016,466779,443960,22819
Texas,Duval,2016,4882,4349,533
Tennessee,Dyer,2016,16307,15298,1009
Colorado,Eagle,2016,33696,32770,926
Georgia,Early,2016,4393,4091,302
Louisiana,East Baton Rouge Parish,2016,232108,220144,11964
Louisiana,East Carroll Parish,2016,2139,1891,248
Louisiana,East Feliciana Parish,2016,8102,7635,467
Texas,Eastland,2016,7417,7014,403
Michigan,Eaton,2016,56875,54530,2345
Wisconsin,Eau Claire,2016,58968,56957,2011
Georgia,Echols,2016,1879,1798,81
Texas,Ector,2016,76176,71340,4836
North Dakota,Eddy,2016,1278,1223,55
New Mexico,Eddy,2016,28685,26843,1842
Illinois,Edgar,2016,9706,9124,582
North Carolina,Edgecombe,2016,22421,20478,1943
South Carolina,Edgefield,2016,10565,9964,601
Kentucky,Edmonson,2016,4805,4505,300
South Dakota,Edmunds,2016,2163,2113,50
Illinois,Edwards,2016,2972,2799,173
Kansas,Edwards,2016,1652,1602,50
Texas,Edwards,2016,866,826,40
Georgia,Effingham,2016,28371,27002,1369
Illinois,Effingham,2016,18687,17804,883
California,El Dorado,2016,88810,84248,4562
Colorado,El Paso,2016,314454,302644,11810
Texas,El Paso,2016,349633,332375,17258
Colorado,Elbert,2016,13786,13428,358
Georgia,Elbert,2016,7717,7217,500
Kansas,Elk,2016,1187,1128,59
Pennsylvania,Elk,2016,16326,15428,898
Indiana,Elkhart,2016,108457,104678,3779
Nevada,Elko,2016,26924,25724,1200
Kentucky,Elliott,2016,2099,1856,243
Kansas,Ellis,2016,16994,16469,525
Oklahoma,Ellis,2016,2257,2171,86
Texas,Ellis,2016,84956,81779,3177
Kansas,Ellsworth,2016,2831,2722,109
Alabama,Elmore,2016,37384,35613,1771
Idaho,Elmore,2016,10973,10520,453
Georgia,Emanuel,2016,8432,7780,652
Utah,Emery,2016,4265,3998,267
Iowa,Emmet,2016,5581,5343,238
Michigan,Emmet,2016,17592,16446,1146
North Dakota,Emmons,2016,1584,1515,69
Virginia,Emporia city,2016,2242,2096,146
Texas,Erath,2016,20224,19405,819
New York,Erie,2016,445070,423157,21913
Ohio,Erie,2016,37409,35341,2068
Pennsylvania,Erie,2016,133534,124864,8670
Alabama,Escambia,2016,14613,13646,967
Florida,Escambia,2016,140696,133760,6936
Nevada,Esmeralda,2016,515,491,24
Massachusetts,Essex,2016,410540,394209,16331
New Jersey,Essex,2016,368262,346140,22122
New York,Essex,2016,17235,16315,920
Virginia,Essex,2016,5517,5247,270
Vermont,Essex,2016,2700,2566,134
Kentucky,Estill,2016,5241,4930,311
Alabama,Etowah,2016,43451,40892,2559
Nevada,Eureka,2016,988,943,45
Louisiana,Evangeline Parish,2016,12670,11731,939
Georgia,Evans,2016,4781,4546,235
Alaska,Fairbanks North Star Borough,2016,46394,43667,2727
Virginia,Fairfax,2016,615904,595834,20070
Virginia,Fairfax city,2016,12954,12554,400
Connecticut,Fairfield,2016,480577,457145,23432
Ohio,Fairfield,2016,75927,72627,3300
South Carolina,Fairfield,2016,10014,9289,725
Puerto Rico,Fajardo Municipio,2016,11285,9728,1557
South Dakota,Fall River,2016,3023,2891,132
Montana,Fallon,2016,1814,1748,66
Texas,Falls,2016,6607,6317,290
Virginia,Falls Church city,2016,7968,7748,220
Georgia,Fannin,2016,10811,10233,578
Texas,Fannin,2016,15760,15168,592
Minnesota,Faribault,2016,7346,7024,322
South Dakota,Faulk,2016,1113,1084,29
Arkansas,Faulkner,2016,60456,58164,2292
Virginia,Fauquier,2016,35876,34614,1262
Alabama,Fayette,2016,6623,6178,445
Georgia,Fayette,2016,55624,53005,2619
Iowa,Fayette,2016,10683,10208,475
Illinois,Fayette,2016,9753,9110,643
Indiana,Fayette,2016,9350,8812,538
Kentucky,Fayette,2016,171402,165244,6158
Ohio,Fayette,2016,14482,13836,646
Pennsylvania,Fayette,2016,58413,53690,4723
Tennessee,Fayette,2016,18216,17301,915
Texas,Fayette,2016,12485,12030,455
West Virginia,Fayette,2016,15967,14699,1268
Tennessee,Fentress,2016,7081,6645,436
Montana,Fergus,2016,5772,5545,227
Washington,Ferry,2016,2489,2231,258
Minnesota,Fillmore,2016,11537,11073,464
Nebraska,Fillmore,2016,3180,3092,88
Kansas,Finney,2016,20129,19507,622
Texas,Fisher,2016,1758,1683,75
Florida,Flagler,2016,45257,42779,2478
Montana,Flathead,2016,46004,43436,2568
Kentucky,Fleming,2016,5945,5572,373
South Carolina,Florence,2016,65488,62024,3464
Wisconsin,Florence,2016,2232,2100,132
Puerto Rico,Florida Municipio,2016,3370,2882,488
Georgia,Floyd,2016,43428,40822,2606
Iowa,Floyd,2016,8666,8351,315
Indiana,Floyd,2016,40981,39303,1678
Kentucky,Floyd,2016,11459,10156,1303
Texas,Floyd,2016,2736,2598,138
Virginia,Floyd,2016,8179,7843,336
Virginia,Fluvanna,2016,13164,12716,448
Texas,Foard,2016,540,520,20
#N/A,Fond du,WI,2016,57020,55016
Illinois,Ford,2016,6653,6292,361
Kansas,Ford,2016,17865,17300,565
Pennsylvania,Forest,2016,1890,1742,148
Wisconsin,Forest,2016,4006,3757,249
Mississippi,Forrest,2016,33404,31501,1903
Georgia,Forsyth,2016,110823,106203,4620
North Carolina,Forsyth,2016,182652,173776,8876
Texas,Fort Bend,2016,366735,348446,18289
North Dakota,Foster,2016,1685,1635,50
Indiana,Fountain,2016,7970,7507,463
Alabama,Franklin,2016,13924,13108,816
Arkansas,Franklin,2016,7353,7057,296
Florida,Franklin,2016,4728,4524,204
Georgia,Franklin,2016,9772,9261,511
Iowa,Franklin,2016,5929,5723,206
Idaho,Franklin,2016,6652,6448,204
Illinois,Franklin,2016,16692,15340,1352
Indiana,Franklin,2016,11477,10979,498
Kansas,Franklin,2016,14210,13614,596
Kentucky,Franklin,2016,24438,23436,1002
Massachusetts,Franklin,2016,39535,38150,1385
Maine,Franklin,2016,14423,13779,644
Missouri,Franklin,2016,52756,50453,2303
Mississippi,Franklin,2016,2855,2651,204
North Carolina,Franklin,2016,29347,27816,1531
Nebraska,Franklin,2016,1499,1454,45
New York,Franklin,2016,19788,18666,1122
Ohio,Franklin,2016,666583,638923,27660
Pennsylvania,Franklin,2016,77466,73480,3986
Tennessee,Franklin,2016,19768,18811,957
Texas,Franklin,2016,4507,4287,220
Virginia,Franklin,2016,26333,25192,1141
Vermont,Franklin,2016,27357,26510,847
Washington,Franklin,2016,39787,36820,2967
Virginia,Franklin city,2016,3533,3317,216
Louisiana,Franklin Parish,2016,7279,6619,660
Maryland,Frederick,2016,128923,123872,5051
Virginia,Frederick,2016,45277,43677,1600
Virginia,Fredericksburg city,2016,13542,12887,655
Minnesota,Freeborn,2016,16340,15717,623
Texas,Freestone,2016,6866,6408,458
Colorado,Fremont,2016,14697,13936,761
Iowa,Fremont,2016,3977,3846,131
Idaho,Fremont,2016,7382,7134,248
Wyoming,Fremont,2016,20026,18581,1445
California,Fresno,2016,444599,402365,42234
Texas,Frio,2016,8776,8350,426
Nebraska,Frontier,2016,1568,1524,44
Arkansas,Fulton,2016,4660,4458,202
Georgia,Fulton,2016,530235,501729,28506
Illinois,Fulton,2016,15803,14635,1168
Indiana,Fulton,2016,9887,9423,464
Kentucky,Fulton,2016,2067,1923,144
New York,Fulton,2016,23219,21891,1328
Ohio,Fulton,2016,22668,21607,1061
Pennsylvania,Fulton,2016,7301,6841,460
Nebraska,Furnas,2016,2711,2636,75
Florida,Gadsden,2016,18172,17039,1133
Nebraska,Gage,2016,11036,10675,361
Texas,Gaines,2016,9179,8838,341
Virginia,Galax city,2016,2899,2754,145
Illinois,Gallatin,2016,2534,2342,192
Kentucky,Gallatin,2016,3903,3713,190
Montana,Gallatin,2016,62187,60437,1750
Ohio,Gallia,2016,12122,11291,831
Texas,Galveston,2016,160038,151521,8517
Nebraska,Garden,2016,1186,1147,39
Colorado,Garfield,2016,30971,29888,1083
Montana,Garfield,2016,765,743,22
Nebraska,Garfield,2016,1154,1125,29
Oklahoma,Garfield,2016,29021,27756,1265
Utah,Garfield,2016,2794,2561,233
Washington,Garfield,2016,918,864,54
Arkansas,Garland,2016,40021,38301,1720
Kentucky,Garrard,2016,7524,7156,368
Maryland,Garrett,2016,15542,14657,885
Oklahoma,Garvin,2016,12725,12046,679
Texas,Garza,2016,2129,2046,83
Missouri,Gasconade,2016,7712,7380,332
North Carolina,Gaston,2016,105652,100025,5627
North Carolina,Gates,2016,5191,4925,266
Kansas,Geary,2016,12044,11365,679
Ohio,Geauga,2016,49486,47319,2167
Idaho,Gem,2016,7743,7379,364
Michigan,Genesee,2016,182491,172185,10306
New York,Genesee,2016,29726,28363,1363
Alabama,Geneva,2016,10853,10226,627
Missouri,Gentry,2016,3594,3460,134
Mississippi,George,2016,8818,8168,650
South Carolina,Georgetown,2016,25009,23303,1706
Indiana,Gibson,2016,19197,18501,696
Tennessee,Gibson,2016,21160,19924,1236
Arizona,Gila,2016,20965,19455,1510
Florida,Gilchrist,2016,6665,6333,332
Tennessee,Giles,2016,15219,14608,611
Virginia,Giles,2016,7932,7502,430
Texas,Gillespie,2016,12991,12622,369
Oregon,Gilliam,2016,837,788,49
Georgia,Gilmer,2016,11815,11145,670
West Virginia,Gilmer,2016,2539,2329,210
Colorado,Gilpin,2016,3481,3398,83
Montana,Glacier,2016,5824,5327,497
Florida,Glades,2016,4708,4416,292
Michigan,Gladwin,2016,9883,9193,690
Georgia,Glascock,2016,1266,1190,76
Texas,Glasscock,2016,749,720,29
California,Glenn,2016,12945,11867,1078
New Jersey,Gloucester,2016,148764,141227,7537
Virginia,Gloucester,2016,19064,18360,704
Georgia,Glynn,2016,39114,37040,2074
Michigan,Gogebic,2016,6333,5945,388
#N/A,Golden,MT,2016,379,362
#N/A,Golden,ND,2016,971,945
Texas,Goliad,2016,3316,3124,192
Texas,Gonzales,2016,9567,9162,405
Virginia,Goochland,2016,10815,10403,412
Minnesota,Goodhue,2016,26938,25938,1000
Idaho,Gooding,2016,8012,7766,246
Georgia,Gordon,2016,25259,23846,1413
Wyoming,Goshen,2016,7024,6780,244
Nebraska,Gosper,2016,1055,1028,27
Kansas,Gove,2016,1449,1414,35
Georgia,Grady,2016,10236,9680,556
Oklahoma,Grady,2016,26113,24818,1295
New Hampshire,Grafton,2016,48748,47596,1152
Arizona,Graham,2016,14352,13389,963
Kansas,Graham,2016,1223,1169,54
North Carolina,Graham,2016,3102,2828,274
Tennessee,Grainger,2016,9252,8752,500
Colorado,Grand,2016,9181,8934,247
Utah,Grand,2016,5727,5390,337
North Dakota,Grand Forks,2016,38797,37883,914
Vermont,Grand Isle,2016,3975,3827,148
Michigan,Grand Traverse,2016,49365,47247,2118
Montana,Granite,2016,1633,1537,96
Arkansas,Grant,2016,8261,7964,297
Indiana,Grant,2016,32141,30556,1585
Kansas,Grant,2016,3769,3635,134
Kentucky,Grant,2016,11347,10792,555
Minnesota,Grant,2016,3298,3144,154
North Dakota,Grant,2016,1296,1257,39
Nebraska,Grant,2016,452,442,10
New Mexico,Grant,2016,12460,11666,794
Oklahoma,Grant,2016,3007,2911,96
Oregon,Grant,2016,3108,2870,238
South Dakota,Grant,2016,4457,4314,143
Washington,Grant,2016,44501,41314,3187
Wisconsin,Grant,2016,28247,27144,1103
West Virginia,Grant,2016,5953,5599,354
Louisiana,Grant Parish,2016,8325,7743,582
North Carolina,Granville,2016,29283,28019,1264
Michigan,Gratiot,2016,18162,17222,940
Kentucky,Graves,2016,15306,14348,958
Kansas,Gray,2016,3406,3329,77
Texas,Gray,2016,8481,7898,583
Washington,Grays Harbor,2016,27197,24927,2270
Kentucky,Grayson,2016,10728,10002,726
Texas,Grayson,2016,61180,58827,2353
Virginia,Grayson,2016,7014,6652,362
Kansas,Greeley,2016,911,892,19
Nebraska,Greeley,2016,1232,1194,38
Kentucky,Green,2016,5000,4773,227
#N/A,Green,WI,2016,9778,9301
Wisconsin,Green,2016,21240,20534,706
West Virginia,Greenbrier,2016,15680,14832,848
Alabama,Greene,2016,2884,2598,286
Arkansas,Greene,2016,19774,18927,847
Georgia,Greene,2016,6593,6195,398
Iowa,Greene,2016,5651,5474,177
Illinois,Greene,2016,6070,5716,354
Indiana,Greene,2016,13741,12843,898
Missouri,Greene,2016,148822,143173,5649
Mississippi,Greene,2016,4289,3978,311
North Carolina,Greene,2016,9524,9021,503
New York,Greene,2016,20559,19521,1038
Ohio,Greene,2016,81065,77519,3546
Pennsylvania,Greene,2016,17290,15954,1336
Tennessee,Greene,2016,30763,29089,1674
Virginia,Greene,2016,9918,9590,328
Arizona,Greenlee,2016,3894,3600,294
Virginia,Greensville,2016,4202,3987,215
Kentucky,Greenup,2016,13891,12681,1210
South Carolina,Greenville,2016,245926,235461,10465
Kansas,Greenwood,2016,3319,3157,162
South Carolina,Greenwood,2016,31401,29770,1631
Oklahoma,Greer,2016,2192,2030,162
Texas,Gregg,2016,58332,54789,3543
South Dakota,Gregory,2016,2075,2013,62
Mississippi,Grenada,2016,9615,9125,490
North Dakota,Griggs,2016,1159,1126,33
Texas,Grimes,2016,11048,10319,729
Iowa,Grundy,2016,6617,6388,229
Illinois,Grundy,2016,25722,23999,1723
Missouri,Grundy,2016,4910,4686,224
Tennessee,Grundy,2016,4772,4464,308
New Mexico,Guadalupe,2016,1691,1583,108
Texas,Guadalupe,2016,75931,73213,2718
Puerto Rico,Guanica Municipio,2016,4142,3394,748
Puerto Rico,Guayama Municipio,2016,12052,10076,1976
Puerto Rico,Guayanilla Municipio,2016,5292,4302,990
Puerto Rico,Guaynabo Municipio,2016,37190,34975,2215
Ohio,Guernsey,2016,18883,17538,1345
North Carolina,Guilford,2016,258484,244973,13511
Florida,Gulf,2016,5955,5679,276
Colorado,Gunnison,2016,10127,9894,233
Puerto Rico,Gurabo Municipio,2016,17513,16026,1487
Iowa,Guthrie,2016,5609,5407,202
Georgia,Gwinnett,2016,466965,444758,22207
South Dakota,Haakon,2016,1106,1079,27
Georgia,Habersham,2016,19271,18254,1017
Alaska,Haines Borough,2016,1073,963,110
Alabama,Hale,2016,6006,5548,458
Texas,Hale,2016,12585,11879,706
North Carolina,Halifax,2016,20684,19047,1637
Virginia,Halifax,2016,14848,13973,875
Georgia,Hall,2016,96156,91834,4322
Nebraska,Hall,2016,31371,30221,1150
Texas,Hall,2016,1165,1087,78
Tennessee,Hamblen,2016,26753,25390,1363
Florida,Hamilton,2016,4648,4386,262
Iowa,Hamilton,2016,7121,6853,268
Illinois,Hamilton,2016,4257,3990,267
Indiana,Hamilton,2016,174473,168883,5590
Kansas,Hamilton,2016,1641,1597,44
Nebraska,Hamilton,2016,4647,4518,129
New York,Hamilton,2016,2363,2210,153
Ohio,Hamilton,2016,404791,386761,18030
Tennessee,Hamilton,2016,171297,163427,7870
Texas,Hamilton,2016,3598,3422,176
South Dakota,Hamlin,2016,3173,3067,106
Massachusetts,Hampden,2016,221992,210339,11653
Massachusetts,Hampshire,2016,88038,84846,3192
West Virginia,Hampshire,2016,9892,9461,431
South Carolina,Hampton,2016,8243,7760,483
Virginia,Hampton city,2016,63889,60210,3679
Georgia,Hancock,2016,2527,2315,212
Iowa,Hancock,2016,6373,6201,172
Illinois,Hancock,2016,8829,8253,576
Indiana,Hancock,2016,38682,37218,1464
Kentucky,Hancock,2016,4039,3821,218
Maine,Hancock,2016,29129,27817,1312
Mississippi,Hancock,2016,18885,17740,1145
Ohio,Hancock,2016,41446,39908,1538
Tennessee,Hancock,2016,2026,1866,160
West Virginia,Hancock,2016,12854,11952,902
South Dakota,Hand,2016,1831,1792,39
Virginia,Hanover,2016,57094,55071,2023
Texas,Hansford,2016,2944,2852,92
South Dakota,Hanson,2016,1769,1709,60
Georgia,Haralson,2016,12138,11435,703
Florida,Hardee,2016,9237,8626,611
Tennessee,Hardeman,2016,9161,8599,562
Texas,Hardeman,2016,1624,1560,64
Iowa,Hardin,2016,8550,8217,333
Illinois,Hardin,2016,1399,1263,136
Kentucky,Hardin,2016,47783,45627,2156
Ohio,Hardin,2016,14372,13650,722
Tennessee,Hardin,2016,10168,9562,606
Texas,Hardin,2016,25148,23620,1528
New Mexico,Harding,2016,277,258,19
South Dakota,Harding,2016,761,739,22
West Virginia,Hardy,2016,5715,5389,326
Maryland,Harford,2016,136631,130843,5788
Kentucky,Harlan,2016,6747,5854,893
Nebraska,Harlan,2016,1755,1711,44
Oklahoma,Harmon,2016,1293,1244,49
North Carolina,Harnett,2016,51461,48486,2975
Oregon,Harney,2016,3423,3209,214
Kansas,Harper,2016,2878,2775,103
Oklahoma,Harper,2016,1911,1838,73
Georgia,Harris,2016,16042,15260,782
Texas,Harris,2016,2249341,2129674,119667
Iowa,Harrison,2016,7430,7179,251
Indiana,Harrison,2016,19955,19116,839
Kentucky,Harrison,2016,8492,8089,403
Missouri,Harrison,2016,3979,3811,168
Mississippi,Harrison,2016,86791,82022,4769
Ohio,Harrison,2016,6967,6432,535
Texas,Harrison,2016,29935,28140,1795
West Virginia,Harrison,2016,32336,30446,1890
Virginia,Harrisonburg city,2016,24199,23019,1180
Georgia,Hart,2016,10994,10404,590
Kentucky,Hart,2016,7901,7525,376
Connecticut,Hartford,2016,474272,448868,25404
Texas,Hartley,2016,2959,2899,60
Kansas,Harvey,2016,17186,16459,727
Kansas,Haskell,2016,2302,2242,60
Oklahoma,Haskell,2016,4507,4135,372
Texas,Haskell,2016,2508,2402,106
Puerto Rico,Hatillo Municipio,2016,13323,11253,2070
Hawaii,Hawaii,2016,93057,89703,3354
Tennessee,Hawkins,2016,23623,22352,1271
Nebraska,Hayes,2016,589,575,14
Texas,Hays,2016,104838,101347,3491
North Carolina,Haywood,2016,28486,27193,1293
Tennessee,Haywood,2016,7649,7154,495
Georgia,Heard,2016,4987,4693,294
Texas,Hemphill,2016,2114,2035,79
Arkansas,Hempstead,2016,9988,9613,375
