State,County,Year,LabourForce,Employed,Unemployed
North Dakota,Barnes,2016,5619,5440,179
Massachusetts,Barnstable,2016,111595,106122,5473
South Carolina,Barnwell,2016,8086,7487,599
Puerto Rico,Barranquitas Municipio,2016,7480,6521,959
Kentucky,Barren,2016,18854,17962,892
Wisconsin,Barron,2016,24389,23280,1109
Georgia,Barrow,2016,37638,35863,1775
Michigan,Barry,2016,30738,29508,1230
Missouri,Barry,2016,15217,14533,684
Indiana,Bartholomew,2016,44444,42938,1506
Kansas,Barton,2016,14008,13380,628
Missouri,Barton,2016,5328,5049,279
Georgia,Bartow,2016,48113,45649,2464
Texas,Bastrop,2016,39014,37557,1457
Missouri,Bates,2016,8169,7732,437
Kentucky,Bath,2016,4759,4406,353
Virginia,Bath,2016,2492,2399,93
Arkansas,Baxter,2016,16077,15387,690
Florida,Bay,2016,87761,83595,4166
Michigan,Bay,2016,51874,49042,2832
Puerto Rico,Bayamon Municipio,2016,66356,60399,5957
Wisconsin,Bayfield,2016,7547,7027,520
Texas,Baylor,2016,1605,1547,58
South Dakota,Beadle,2016,9411,9168,243
#N/A,Bear,ID,2016,2816,2687
North Carolina,Beaufort,2016,20307,19153,1154
South Carolina,Beaufort,2016,72630,69147,3483
Louisiana,Beauregard Parish,2016,15063,14151,912
Oklahoma,Beaver,2016,2889,2799,90
Pennsylvania,Beaver,2016,85293,80021,5272
Utah,Beaver,2016,3076,2924,152
Montana,Beaverhead,2016,5077,4909,168
Minnesota,Becker,2016,18621,17771,850
Oklahoma,Beckham,2016,11042,10249,793
Pennsylvania,Bedford,2016,24043,22639,1404
Tennessee,Bedford,2016,19752,18773,979
Virginia,Bedford,2016,37913,36349,1564
Texas,Bee,2016,10305,9531,774
New Hampshire,Belknap,2016,31386,30496,890
Kentucky,Bell,2016,8659,7859,800
Texas,Bell,2016,139445,133173,6272
Ohio,Belmont,2016,31000,28674,2326
Minnesota,Beltrami,2016,23757,22519,1238
Georgia,Ben Hill,2016,5538,5084,454
Idaho,Benewah,2016,4019,3781,238
South Dakota,Bennett,2016,1123,1079,44
Vermont,Bennington,2016,18449,17756,693
North Dakota,Benson,2016,2434,2336,98
Colorado,Bent,2016,1850,1793,57
Arkansas,Benton,2016,127720,124007,3713
Iowa,Benton,2016,13561,13071,490
Indiana,Benton,2016,4565,4372,193
Minnesota,Benton,2016,21850,20888,962
Missouri,Benton,2016,7268,6828,440
Mississippi,Benton,2016,3050,2846,204
Oregon,Benton,2016,46783,44947,1836
Tennessee,Benton,2016,6714,6237,477
Washington,Benton,2016,94130,88182,5948
Michigan,Benzie,2016,8835,8254,581
New Jersey,Bergen,2016,478906,458863,20043
South Carolina,Berkeley,2016,97155,92694,4461
West Virginia,Berkeley,2016,54066,51923,2143
Pennsylvania,Berks,2016,213140,202560,10580
Massachusetts,Berkshire,2016,64353,61454,2899
New Mexico,Bernalillo,2016,326722,307963,18759
Georgia,Berrien,2016,7209,6767,442
Michigan,Berrien,2016,73776,70115,3661
North Carolina,Bertie,2016,8436,7879,557
Alaska,Bethel Census Area,2016,7237,6207,1030
Texas,Bexar,2016,905115,871260,33855
Alabama,Bibb,2016,8644,8088,556
Georgia,Bibb,2016,68537,64465,4072
Louisiana,Bienville Parish,2016,5664,5233,431
Montana,Big Horn,2016,5540,5139,401
Wyoming,Big Horn,2016,5536,5260,276
Minnesota,Big Stone,2016,2713,2583,130
North Dakota,Billings,2016,438,425,13
Idaho,Bingham,2016,22830,22027,803
Iowa,Black Hawk,2016,69082,65879,3203
Indiana,Blackford,2016,5336,5050,286
North Carolina,Bladen,2016,14569,13564,1005
Idaho,Blaine,2016,11867,11493,374
Montana,Blaine,2016,2372,2264,108
Nebraska,Blaine,2016,264,253,11
Oklahoma,Blaine,2016,4395,4233,162
Pennsylvania,Blair,2016,60828,57624,3204
Texas,Blanco,2016,5932,5749,183
Virginia,Bland,2016,2736,2591,145
Georgia,Bleckley,2016,4495,4139,356
Tennessee,Bledsoe,2016,4306,4007,299
Alabama,Blount,2016,24684,23358,1326
Tennessee,Blount,2016,60618,57977,2641
Minnesota,Blue Earth,2016,39754,38480,1274
Idaho,Boise,2016,3102,2938,164
Mississippi,Bolivar,2016,13411,12444,967
Missouri,Bollinger,2016,5469,5182,287
South Dakota,Bon Homme,2016,2945,2865,80
Illinois,Bond,2016,7878,7475,403
Idaho,Bonner,2016,18921,17895,1026
Idaho,Bonneville,2016,52476,50808,1668
Arkansas,Boone,2016,15904,15321,583
Iowa,Boone,2016,15072,14651,421
Illinois,Boone,2016,26325,24648,1677
Indiana,Boone,2016,34853,33677,1176
Kentucky,Boone,2016,67249,64670,2579
Missouri,Boone,2016,98313,95073,3240
Nebraska,Boone,2016,3000,2921,79
West Virginia,Boone,2016,7986,7258,728
Texas,Borden,2016,366,353,13
Texas,Bosque,2016,8185,7833,352
Louisiana,Bossier Parish,2016,57579,54516,3063
Virginia,Botetourt,2016,17326,16691,635
North Dakota,Bottineau,2016,3227,3077,150
Colorado,Boulder,2016,180697,175874,4823
Idaho,Boundary,2016,5114,4846,268
Kansas,Bourbon,2016,7120,6774,346
Kentucky,Bourbon,2016,9877,9404,473
Texas,Bowie,2016,39610,37749,1861
North Dakota,Bowman,2016,1835,1796,39
Nebraska,Box Butte,2016,5638,5435,203
Utah,Box Elder,2016,24683,23821,862
Kentucky,Boyd,2016,18548,17036,1512
Nebraska,Boyd,2016,1098,1065,33
Kentucky,Boyle,2016,12310,11696,614
Kentucky,Bracken,2016,3831,3599,232
Florida,Bradford,2016,10841,10381,460
Pennsylvania,Bradford,2016,30163,28196,1967
Arkansas,Bradley,2016,4477,4252,225
Tennessee,Bradley,2016,49945,47725,2220
Michigan,Branch,2016,19097,18177,920
Georgia,Brantley,2016,7085,6609,476
West Virginia,Braxton,2016,5490,5008,482
Texas,Brazoria,2016,169795,161001,8794
Texas,Brazos,2016,111251,107409,3842
Kentucky,Breathitt,2016,3747,3376,371
Kentucky,Breckinridge,2016,7737,7246,491
Iowa,Bremer,2016,13868,13372,496
Florida,Brevard,2016,262074,248726,13348
Texas,Brewster,2016,3960,3811,149
Texas,Briscoe,2016,548,524,24
Massachusetts,Bristol,2016,290659,276376,14283
Rhode Island,Bristol,2016,26132,24924,1208
Alaska,Bristol Bay Borough,2016,413,384,29
Virginia,Bristol city,2016,7439,7058,381
Montana,Broadwater,2016,2553,2428,125
New York,Bronx,2016,607295,563965,43330
West Virginia,Brooke,2016,9976,9272,704
South Dakota,Brookings,2016,18886,18369,517
Georgia,Brooks,2016,6999,6632,367
Texas,Brooks,2016,2438,2151,287
New York,Broome,2016,85851,81196,4655
Colorado,Broomfield,2016,36747,35684,1063
Florida,Broward,2016,1002237,957296,44941
Illinois,Brown,2016,2856,2760,96
Indiana,Brown,2016,7521,7219,302
Kansas,Brown,2016,5159,4972,187
Minnesota,Brown,2016,14570,13960,610
Nebraska,Brown,2016,1378,1328,50
Ohio,Brown,2016,19485,18350,1135
South Dakota,Brown,2016,21087,20524,563
Texas,Brown,2016,16164,15463,701
Wisconsin,Brown,2016,141375,136269,5106
South Dakota,Brule,2016,2471,2408,63
North Carolina,Brunswick,2016,49705,46504,3201
Virginia,Brunswick,2016,6203,5830,373
Georgia,Bryan,2016,16901,16079,822
Oklahoma,Bryan,2016,19525,18686,839
Iowa,Buchanan,2016,11171,10711,460
Missouri,Buchanan,2016,46769,44857,1912
Virginia,Buchanan,2016,6854,6113,741
Virginia,Buckingham,2016,6259,5916,343
Pennsylvania,Bucks,2016,340728,325030,15698
Iowa,Buena Vista,2016,11481,11076,405
Virginia,Buena Vista city,2016,3272,3104,168
Nebraska,Buffalo,2016,27185,26504,681
South Dakota,Buffalo,2016,726,666,60
Wisconsin,Buffalo,2016,6583,6289,294
Kentucky,Bullitt,2016,40517,38822,1695
Georgia,Bulloch,2016,35907,33852,2055
Alabama,Bullock,2016,4844,4514,330
North Carolina,Buncombe,2016,134374,129188,5186
Illinois,Bureau,2016,17374,16324,1050
Georgia,Burke,2016,9227,8516,711
North Carolina,Burke,2016,39858,37921,1937
North Dakota,Burke,2016,1145,1093,52
North Dakota,Burleigh,2016,50602,49297,1305
Texas,Burleson,2016,7872,7507,365
New Jersey,Burlington,2016,229949,219677,10272
Texas,Burnet,2016,21986,21226,760
Wisconsin,Burnett,2016,7188,6757,431
Nebraska,Burt,2016,3542,3412,130
Alabama,Butler,2016,9229,8593,636
Iowa,Butler,2016,8006,7658,348
Kansas,Butler,2016,32159,30816,1343
Kentucky,Butler,2016,5160,4877,283
Missouri,Butler,2016,18826,17748,1078
Nebraska,Butler,2016,4620,4472,148
Ohio,Butler,2016,189364,180784,8580
Pennsylvania,Butler,2016,98572,93599,4973
California,Butte,2016,101627,94909,6718
Idaho,Butte,2016,1295,1242,53
South Dakota,Butte,2016,5047,4873,174
Georgia,Butts,2016,10361,9778,583
North Carolina,Cabarrus,2016,101184,96569,4615
West Virginia,Cabell,2016,41199,39214,1985
Puerto Rico,Cabo Rojo Municipio,2016,14168,12405,1763
Utah,Cache,2016,61232,59361,1871
Oklahoma,Caddo,2016,11934,11302,632
Louisiana,Caddo Parish,2016,107031,99951,7080
Puerto Rico,Caguas Municipio,2016,48264,43281,4983
California,Calaveras,2016,20794,19615,1179
Louisiana,Calcasieu Parish,2016,102869,97954,4915
