SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
50,24,9,Maryland,Calvert County,2016,91052,45050,46002,37022,37385,5746,6121,213,196,684,926,35,50,1350,1324,38233,38558,6447,6832,558,547,1159,1363,103,127,43343,44293,35644,35988,5599,5986,167,158,668,907,29,41,1236,1213,36748,37066,6247,6635,467,460,1123,1320,93,110,1707,1709,1378,1397,147,135,46,38,16,19,6,9,114,111,1485,1492,200,197,91,87,36,43,10,17
50,24,11,Maryland,Caroline County,2016,32840,16118,16722,13158,13559,2167,2450,178,106,161,186,70,32,384,389,13512,13920,2433,2712,259,196,223,236,84,48,14813,15685,12200,12780,2101,2369,57,55,120,147,7,5,328,329,12503,13087,2333,2597,119,125,175,188,19,18,1305,1037,958,779,66,81,121,51,41,39,63,27,56,60,1009,833,100,115,140,71,48,48,65,30
50,24,13,Maryland,Carroll County,2016,167100,82624,84476,76278,78356,3339,2670,196,193,1322,1710,34,51,1455,1496,77630,79740,4032,3388,534,534,1864,2247,90,118,79690,81796,73732,75987,3196,2558,149,134,1294,1694,25,42,1294,1381,74936,77268,3802,3215,422,433,1811,2202,76,101,2934,2680,2546,2369,143,112,47,59,28,16,9,9,161,115,2694,2472,230,173,112,101,53,45,14,17
50,24,15,Maryland,Cecil County,2016,102487,50930,51557,45173,45880,3619,3502,223,204,648,768,38,30,1229,1173,46311,46958,4327,4191,524,494,947,1041,87,81,48581,49501,43319,44205,3372,3316,135,143,629,748,30,25,1096,1064,44335,45186,4005,3943,383,390,914,1003,73,73,2349,2056,1854,1675,247,186,88,61,19,20,8,5,133,109,1976,1772,322,248,141,104,33,38,14,8
50,24,17,Maryland,Charles County,2016,157292,75991,81301,35698,36155,34365,38354,563,649,2331,2911,99,91,2935,3141,38031,38621,36375,40596,1391,1631,3237,3828,231,211,71753,76905,32787,33130,33577,37494,444,546,2238,2829,65,65,2642,2841,34869,35349,35401,39532,1158,1414,3084,3685,177,168,4238,4396,2911,3025,788,860,119,103,93,82,34,26,293,300,3162,3272,974,1064,233,217,153,143,54,43
50,24,19,Maryland,Dorchester County,2016,32276,15357,16919,10457,11248,4288,5014,77,80,163,218,9,6,363,353,10781,11572,4524,5245,173,171,218,274,32,21,14517,16023,9835,10588,4163,4845,49,59,155,213,7,3,308,315,10109,10878,4371,5054,121,136,203,262,27,17,840,896,622,660,125,169,28,21,8,5,2,3,55,38,672,694,153,191,52,35,15,12,5,4
50,24,21,Maryland,Frederick County,2016,246999,121574,125425,100089,103221,12067,11878,576,584,5280,5975,121,105,3441,3662,103262,106593,13900,13945,1258,1347,6566,7255,248,226,110130,114464,90377,93913,11211,11196,269,276,5160,5825,81,66,3032,3188,93191,96866,12815,12987,794,866,6365,7013,195,167,11444,10961,9712,9308,856,682,307,308,120,150,40,39,409,474,10071,9727,1085,958,464,481,201,242,53,59
50,24,23,Maryland,Garrett County,2016,29358,14548,14810,14158,14495,197,98,20,30,31,78,1,0,141,109,14283,14597,275,153,70,67,62,101,8,5,14379,14653,14002,14346,190,98,20,26,30,77,1,0,136,106,14123,14445,264,151,68,63,61,99,8,5,169,157,156,149,7,0,0,4,1,1,0,0,5,3,160,152,11,2,2,4,1,2,0,0
50,24,25,Maryland,Harford County,2016,250370,122444,127926,98730,102202,16483,17920,407,388,3400,3967,129,106,3295,3343,101670,105171,18376,19941,1145,1158,4517,5028,286,232,116692,122623,94184,98141,15872,17241,272,268,3336,3891,90,78,2938,3004,96817,100816,17558,19061,876,912,4385,4890,227,187,5752,5303,4546,4061,611,679,135,120,64,76,39,28,357,339,4853,4355,818,880,269,246,132,138,59,45
50,24,27,Maryland,Howard County,2016,315416,154487,160929,92228,92856,27984,32114,660,603,27730,29235,138,135,5747,5986,97338,98076,30901,35338,1814,1846,30405,31900,327,367,143753,150631,83893,84886,26935,31032,285,274,27549,29070,75,102,5016,5267,88355,89469,29451,33834,1166,1263,30033,31555,225,292,10734,10298,8335,7970,1049,1082,375,329,181,165,63,33,731,719,8983,8607,1450,1504,648,583,372,345,102,75
