FIPS,DeathAssault,DeathSuicide
12131,31,184
12133,37,74
13001,20,39
13003,11,14
13005,17,24
13007,Suppressed,Suppressed
13009,61,99
13011,Suppressed,50
13013,54,179
13015,77,258
13017,35,25
13019,10,48
13021,381,307
13023,13,41
13025,16,37
13027,19,37
13029,28,71
13031,45,128
13033,44,53
13035,29,51
13037,16,Suppressed
13039,42,111
13043,20,25
13045,91,261
13047,32,135
13049,14,26
13051,635,548
13053,Suppressed,24
13055,20,61
13057,73,428
13059,102,225
13061,Suppressed,Suppressed
13063,552,364
13065,10,12
13067,525,1183
13069,57,83
13071,86,97
13073,50,251
13075,24,42
13077,76,251
13079,12,34
13081,51,45
13083,Suppressed,49
13085,Suppressed,75
13087,36,62
13089,1542,1020
13091,24,52
13093,Suppressed,25
13095,161,153
13097,111,245
13099,18,25
13101,Suppressed,Suppressed
13103,29,108
13105,21,60
13107,34,52
13109,Suppressed,25
13111,15,81
13113,53,181
13115,90,263
13117,43,299
13119,23,76
13121,2209,1608
13123,19,91
13125,Suppressed,Suppressed
13127,104,175
13129,39,111
13131,29,54
13133,16,33
13135,613,1355
13137,19,92
13139,119,367
13141,17,15
13143,28,109
13145,17,70
13147,22,72
13149,Suppressed,36
13151,163,375
13153,111,295
13155,14,16
13157,45,148
13159,Suppressed,42
13161,18,32
13163,28,30
13165,17,14
13167,Suppressed,14
13169,19,69
13171,12,36
13173,12,13
13175,60,98
13177,13,65
13179,96,140
13181,14,16
13183,11,26
13185,114,210
13187,17,76
13189,35,58
13191,19,24
13193,18,26
13195,17,68
13197,Suppressed,15
13199,32,52
13201,Suppressed,10
13205,28,46
13207,29,66
13209,11,29
13211,10,37
13213,17,85
13215,353,399
13217,107,188
13219,Suppressed,59
13221,11,34
13223,73,281
13225,28,74
13227,18,79
13229,13,48
13231,14,50
13233,51,108
13235,13,35
13237,15,60
13239,Suppressed,Suppressed
13241,15,60
13243,13,17
13245,413,426
13247,81,147
13249,Suppressed,11
13251,26,18
13253,13,23
13255,74,150
13257,25,71
13259,14,Suppressed
13261,48,49
13263,16,12
13265,Suppressed,Suppressed
13267,33,61
13269,Suppressed,26
13271,21,28
13273,14,18
13275,36,98
13277,70,87
13279,40,59
13281,Suppressed,42
13283,Suppressed,16
13285,75,151
13287,14,16
13289,12,31
13291,17,79
13293,26,64
13295,51,147
13297,56,194
13299,53,80
13301,Suppressed,15
13303,24,37
13305,38,66
13307,Suppressed,Suppressed
13309,Suppressed,13
13311,18,74
13313,61,183
13315,11,24
13317,11,31
13319,Suppressed,24
13321,20,48
15001,94,485
15003,348,1720
15005,Suppressed,Suppressed
15007,28,169
15009,43,395
16001,117,1031
16003,Suppressed,13
16005,31,276
16007,Suppressed,31
16009,Suppressed,34
16011,20,148
16013,Suppressed,72
16015,Suppressed,29
16017,16,156
16019,39,306
16021,Suppressed,51
16023,Suppressed,Suppressed
16025,Suppressed,Suppressed
16027,90,478
16029,Suppressed,29
16031,13,56
16033,Suppressed,Suppressed
16035,Suppressed,35
16037,Suppressed,30
16039,Suppressed,80
16041,Suppressed,32
16043,Suppressed,32
16045,Suppressed,48
16047,Suppressed,39
16049,Suppressed,56
16051,Suppressed,69
16053,12,73
16055,46,456
16057,14,89
16059,Suppressed,47
16061,Suppressed,18
16063,Suppressed,18
16065,Suppressed,32
16067,10,60
16069,18,169
16071,Suppressed,10
16073,Suppressed,38
16075,11,66
16077,Suppressed,17
16079,Suppressed,65
16081,Suppressed,34
16083,28,249
16085,Suppressed,31
16087,Suppressed,23
17001,31,141
17003,17,17
17005,Suppressed,25
17007,20,75
17009,Suppressed,17
17011,Suppressed,84
17013,Suppressed,Suppressed
17015,Suppressed,37
17017,Suppressed,31
17019,101,311
17021,Suppressed,98
17023,Suppressed,45
17025,Suppressed,35
17027,Suppressed,68
17029,22,93
17031,11676,7265
17033,Suppressed,41
17035,Suppressed,26
17037,24,147
17039,Suppressed,27
17041,Suppressed,28
17043,231,1332
17045,Suppressed,61
17047,Suppressed,17
17049,15,54
17051,13,57
17053,Suppressed,23
17055,17,112
17057,Suppressed,92
17059,Suppressed,13
17061,Suppressed,22
17063,10,82
17065,Suppressed,13
17067,Suppressed,35
17069,Suppressed,Suppressed
17071,Suppressed,19
17073,16,111
17075,19,78
17077,27,111
17079,Suppressed,27
17081,26,93
17083,Suppressed,46
17085,Suppressed,51
