state,county,votes_total,votes_dem,votes_gop
Kentucky,carlisle county,2638,463,2159
Kentucky,carroll county,4135,1116,2954
Kentucky,carter county,11585,2642,8775
Kentucky,casey county,7171,918,6179
Kentucky,christian county,23863,8296,15080
Kentucky,clark county,18128,6004,11811
Kentucky,clay county,7590,831,6677
Kentucky,clinton county,4932,603,4280
Kentucky,crittenden county,4242,731,3451
Kentucky,cumberland county,3309,508,2769
Kentucky,daviess county,49240,17283,31023
Kentucky,edmonson county,6131,1227,4828
Kentucky,elliott county,2995,712,2246
Kentucky,estill county,6538,1355,5100
Kentucky,fayette county,152664,90566,58845
Kentucky,fleming county,7066,1474,5534
Kentucky,floyd county,16351,3884,12250
Kentucky,franklin county,26059,12650,12900
Kentucky,fulton county,2421,791,1605
Kentucky,gallatin county,3849,822,2955
Kentucky,garrard county,8703,1830,6754
Kentucky,grant county,11106,2205,8725
Kentucky,graves county,17018,3559,13206
Kentucky,grayson county,11983,2400,9453
Kentucky,green county,5812,920,4838
Kentucky,greenup county,18176,4873,13064
Kentucky,hancock county,4587,1351,3145
Kentucky,hardin county,48941,18101,29832
Kentucky,harlan county,10971,1494,9367
Kentucky,harrison county,8853,2400,6334
Kentucky,hart county,8369,1908,6345
Kentucky,henderson county,20688,7639,12730
Kentucky,henry county,8107,2142,5843
Kentucky,hickman county,2199,458,1714
Kentucky,hopkins county,21509,5439,15757
Kentucky,jackson county,6113,605,5453
Kentucky,jefferson county,386093,228288,150619
Kentucky,jessamine county,26251,8567,17096
Kentucky,johnson county,10192,1608,8450
Kentucky,kenton county,82108,32265,48123
Kentucky,knott county,6251,1412,4779
Kentucky,knox county,13273,2114,11012
Kentucky,larue county,7301,1504,5685
Kentucky,laurel county,28097,4474,23234
Kentucky,lawrence county,6955,1238,5633
Kentucky,lee county,2659,459,2159
Kentucky,leslie county,4811,446,4321
Kentucky,letcher county,9135,1799,7226
Kentucky,lewis county,5883,823,4986
Kentucky,lincoln county,10913,2254,8489
Kentucky,livingston county,5003,939,4010
Kentucky,logan county,12346,3094,9067
Kentucky,lyon county,4228,1092,3100
Kentucky,madison county,43903,15580,27353
Kentucky,magoffin county,5446,1213,4174
Kentucky,marion county,8928,2722,6113
Kentucky,marshall county,17601,4071,13297
Kentucky,martin county,3930,403,3496
Kentucky,mason county,7958,2362,5477
Kentucky,mccracken county,33521,11190,21820
Kentucky,mccreary county,6435,725,5664
Kentucky,mclean county,4782,1074,3633
Kentucky,meade county,14110,3632,10184
Kentucky,menifee county,3102,750,2311
Kentucky,mercer county,11735,3033,8506
Kentucky,metcalfe county,5012,975,3959
Kentucky,monroe county,5330,657,4628
Kentucky,montgomery county,12837,3630,8993
Kentucky,morgan county,5535,1172,4297
Kentucky,muhlenberg county,14229,3544,10496
Kentucky,nelson county,23245,7188,15703
Kentucky,nicholas county,3396,955,2408
Kentucky,ohio county,11127,2404,8582
Kentucky,oldham county,37936,14504,22651
Kentucky,owen county,5456,1098,4292
Kentucky,owsley county,1895,216,1670
Kentucky,pendleton county,6925,1322,5515
Kentucky,perry county,10606,2350,8118
Kentucky,pike county,25368,4862,20279
Kentucky,powell county,5505,1367,4041
Kentucky,pulaski county,31537,5664,25441
Kentucky,robertson county,1146,253,884
Kentucky,rockcastle county,7783,1134,6577
Kentucky,rowan county,10058,3880,5994
Kentucky,russell county,8939,1329,7506
Kentucky,scott county,28950,10564,17764
Kentucky,shelby county,23542,8076,15054
Kentucky,simpson county,8732,2681,5888
Kentucky,spencer county,11429,2530,8737
Kentucky,taylor county,12510,2961,9376
Kentucky,todd county,5351,1202,4060
Kentucky,trigg county,7375,1791,5487
Kentucky,trimble county,4319,1012,3227
Kentucky,union county,6576,1529,4965
Kentucky,warren county,55351,22477,31790
Kentucky,washington county,6223,1644,4482
Kentucky,wayne county,9240,1700,7430
Kentucky,webster county,5991,1412,4506
Kentucky,whitley county,15347,2552,12567
Kentucky,wolfe county,2979,839,2097
Kentucky,woodford county,15211,6530,8362
Louisiana,acadia parish,28425,5443,22596
Louisiana,allen parish,9810,2108,7574
Louisiana,ascension parish,62317,20397,40682
Louisiana,assumption parish,11235,3833,7271
Louisiana,avoyelles parish,17292,4979,12028
Louisiana,beauregard parish,16357,2542,13575
Louisiana,bienville parish,7049,3066,3891
Louisiana,bossier parish,54642,15658,38065
Louisiana,caddo parish,104699,54993,47927
Louisiana,calcasieu parish,82659,25982,55062
Louisiana,caldwell parish,4762,745,3976
Louisiana,cameron parish,4038,324,3670
Louisiana,catahoula parish,4858,1269,3541
Louisiana,claiborne parish,6580,2731,3770
Louisiana,concordia parish,8828,3177,5550
Louisiana,de soto parish,14724,5446,9111
Louisiana,east baton rouge parish,208111,115533,88396
Louisiana,east carroll parish,3036,1900,1080
Louisiana,east feliciana parish,10509,4280,6064
Louisiana,evangeline parish,15412,4158,11053
Louisiana,franklin parish,9720,2658,6970
Louisiana,grant parish,9392,1157,8117
Louisiana,iberia parish,32711,11027,21249
Louisiana,iberville parish,16719,8514,7893
Louisiana,jackson parish,7632,2143,5394
Louisiana,jefferson davis parish,14841,3208,11423
Louisiana,jefferson parish,193631,84438,105890
Louisiana,la salle parish,6982,574,6348
Louisiana,lafayette parish,114520,39685,72518
Louisiana,lafourche parish,45380,8668,36020
Louisiana,lincoln parish,19275,7559,11311
Louisiana,livingston parish,65222,9249,54870
Louisiana,madison parish,4670,2654,1930
Louisiana,morehouse parish,11574,4946,6510
Louisiana,natchitoches parish,16554,6896,9358
Louisiana,orleans parish,177670,147729,26645
Louisiana,ouachita parish,69148,25905,42245
Louisiana,plaquemines parish,11012,3413,7411
Louisiana,pointe coupee parish,12371,4683,7503
Louisiana,rapides parish,58861,19472,38346
Louisiana,red river parish,4132,1644,2413
Louisiana,richland parish,9940,3225,6607
Louisiana,sabine parish,10596,1731,8776
Louisiana,st. bernard parish,17649,6151,11178
Louisiana,st. charles parish,28517,9800,18233
Louisiana,st. helena parish,6158,3346,2714
Louisiana,st. james parish,12589,6509,5954
Louisiana,st. john the baptist parish,21431,13581,7538
Louisiana,st. landry parish,41149,17371,23167
Louisiana,st. martin parish,27038,8439,18203
Louisiana,st. mary parish,23184,8054,14810
Louisiana,st. tammany parish,140107,37744,99665
Louisiana,tangipahoa parish,57650,18883,37799
Louisiana,tensas parish,2549,1326,1195
Louisiana,terrebonne parish,46240,11198,34339
Louisiana,union parish,11200,2654,8406
Louisiana,vermilion parish,27324,5009,21930
Louisiana,vernon parish,17264,2897,14104
Louisiana,washington parish,19513,5970,13307
Louisiana,webster parish,18215,6172,11829
Louisiana,west baton rouge parish,14097,6200,7684
Louisiana,west carroll parish,5052,710,4317
Louisiana,west feliciana parish,6268,2298,3863
Louisiana,winn parish,6223,1543,4617
Maine,androscoggin county,58634,27579,29242
Maine,aroostook county,36861,14133,21554
Maine,cumberland county,193737,128770,59571
Maine,franklin county,17095,7945,8640
Maine,hancock county,35297,19364,14972
Maine,kennebec county,71809,34873,34713
Maine,knox county,25727,15109,9978
Maine,lincoln county,23572,12684,10256
Maine,oxford county,33483,14750,17695
Maine,penobscot county,85007,37635,44653
Maine,piscataquis county,9698,3422,5885
Maine,sagadahoc county,24036,13528,9755
Maine,somerset county,27328,10136,16472
Maine,waldo county,24309,12343,11186
Maine,washington county,17077,6568,10115
Maine,york county,129647,71184,54815
Maryland,allegany county,30095,8971,20658
Maryland,anne arundel county,304865,171327,127304
Maryland,baltimore city,220396,193130,23872
Maryland,baltimore county,346035,210155,130085
Maryland,calvert county,48023,22185,24957
Maryland,caroline county,15393,4900,10150
Maryland,carroll county,97419,35472,59282
Maryland,cecil county,47091,16678,29392
Maryland,charles county,81617,56204,24227
Maryland,dorchester county,15364,6491,8565
Maryland,frederick county,140410,75094,62221
Maryland,garrett county,15493,3263,11934
Maryland,harford county,141143,59537,78684
Maryland,howard county,179022,127522,48058
Maryland,kent county,10015,4914,4900
Maryland,montgomery county,418018,328413,83000
Maryland,prince george's county,399112,357774,35139
Maryland,queen anne's county,29915,10627,18663
Maryland,somerset county,9775,4041,5603
Maryland,st. mary's county,55206,23056,30777
Maryland,talbot county,21811,10705,10724
Maryland,washington county,65209,24869,39148
Maryland,wicomico county,42947,20150,21881
Maryland,worcester county,29174,11255,17547
Massachusetts,barnstable county,146266,89688,54150
Massachusetts,berkshire county,70301,51027,17908
Massachusetts,bristol county,271217,149276,117012
Massachusetts,dukes county,12645,9818,2609
Massachusetts,essex county,411015,261012,142987
Massachusetts,franklin county,42035,29824,11174
Massachusetts,hampden county,215197,124534,86630
Massachusetts,hampshire county,85706,62036,21929
Massachusetts,middlesex county,837192,599059,223244
Massachusetts,nantucket county,7268,5234,1912
Massachusetts,norfolk county,398631,268064,123735
Massachusetts,plymouth county,295173,169811,119839
Massachusetts,suffolk county,312597,252661,55699
Massachusetts,worcester county,423789,244294,169949
Michigan,alcona county,7063,2142,4848
Michigan,alger county,5128,2053,3014
Michigan,allegan county,67069,24447,41381
Michigan,alpena county,16966,6000,10686
Michigan,antrim county,17327,7289,9783
Michigan,arenac county,8830,2773,5928
Michigan,baraga county,4033,1475,2512
Michigan,barry county,35914,11804,23473
Michigan,bay county,53505,21718,30919
Michigan,benzie county,12259,5480,6600
Michigan,berrien county,82378,37438,43518
Michigan,branch county,20540,6161,14066
Michigan,calhoun county,65568,28417,35900
Michigan,cass county,26192,9122,16686
Michigan,charlevoix county,17000,6939,9841
Michigan,cheboygan county,15849,5435,10171
Michigan,chippewa county,17644,6651,10682
Michigan,clare county,16281,5199,10861
Michigan,clinton county,47902,21963,25095
Michigan,crawford county,7665,2612,4955
Michigan,delta county,21149,7605,13206
Michigan,dickinson county,13243,4569,8469
Michigan,eaton county,64301,31297,31797
Michigan,emmet county,22176,9662,12135
Michigan,genesee county,222504,120082,99199
Michigan,gladwin county,14603,4524,9893
Michigan,gogebic county,8269,3573,4600
Michigan,grand traverse county,60226,28682,30502
Michigan,gratiot county,19128,6693,12104
Michigan,hillsdale county,23288,5883,17037
Michigan,houghton county,18508,7755,10380
Michigan,huron county,17508,5349,11949
Michigan,ingham county,144514,94221,47640
Michigan,ionia county,32201,10899,20655
Michigan,iosco county,15358,5371,9760
Michigan,iron county,6789,2493,4216
Michigan,isabella county,29409,14072,14815
Michigan,jackson county,80863,32004,47381
Michigan,kalamazoo county,143363,83674,56823
Michigan,kalkaska county,10627,3003,7436
Michigan,kent county,359223,186753,165318
Michigan,keweenaw county,1557,672,862
Michigan,lake county,6323,2288,3946
Michigan,lapeer county,52639,16368,35480
Michigan,leelanau county,16895,8793,7915
Michigan,lenawee county,53370,20916,31539
Michigan,livingston county,127162,48218,76980
Michigan,luce county,3001,842,2109
Michigan,mackinac county,6922,2589,4258
Michigan,macomb county,496523,225561,264535
Michigan,manistee county,14654,6107,8321
Michigan,marquette county,37459,20465,16287
Michigan,mason county,17249,6802,10207
Michigan,mecosta county,21042,7373,13265
Michigan,menominee county,12605,4315,8117
Michigan,midland county,49073,20493,27675
Michigan,missaukee county,8754,1967,6648
Michigan,monroe county,87148,32975,52710
Michigan,montcalm county,32086,9703,21815
Michigan,montmorency county,5859,1628,4171
Michigan,muskegon county,91701,45508,44544
Michigan,newaygo county,27164,7874,18864
Michigan,oakland county,769987,433982,325916
Michigan,oceana county,14062,4944,8892
Michigan,ogemaw county,11907,3475,8253
Michigan,ontonagon county,3804,1391,2358
Michigan,osceola county,12329,3214,8928
Michigan,oscoda county,4874,1342,3466
Michigan,otsego county,14756,4743,9779
Michigan,ottawa county,168074,64566,100511
Michigan,presque isle county,8344,2912,5343
Michigan,roscommon county,15018,5166,9670
Michigan,saginaw county,103326,51068,50784
Michigan,sanilac county,22446,5966,16194
Michigan,schoolcraft county,4745,1589,3090
Michigan,shiawassee county,39250,15371,23154
Michigan,st. clair county,92062,31363,59184
Michigan,st. joseph county,27936,9262,18128
Michigan,tuscola county,29458,8713,20310
Michigan,van buren county,39060,16800,21591
Michigan,washtenaw county,216273,157130,56241
Michigan,wayne county,861821,587074,264149
Michigan,wexford county,18265,5838,12102
Minnesota,aitkin county,10010,3607,6258
Minnesota,anoka county,210488,100890,104902
Minnesota,becker county,19358,6589,12438
Minnesota,beltrami county,24131,11426,12188
Minnesota,benton county,22219,7281,14382
Minnesota,big stone county,2969,1053,1862
Minnesota,blue earth county,35969,18330,16731
Minnesota,brown county,14595,4753,9552
Minnesota,carlton county,20320,10098,9791
Minnesota,carver county,66119,30770,34012
Minnesota,cass county,18256,6342,11621
Minnesota,chippewa county,6599,2226,4250
Minnesota,chisago county,34491,11801,21915
Minnesota,clay county,32138,16357,15043
Minnesota,clearwater county,4699,1260,3372
Minnesota,cook county,3785,2496,1203
Minnesota,cottonwood county,6097,1834,4165
Minnesota,crow wing county,40073,13726,25676
Minnesota,dakota county,260190,145542,109204
Minnesota,dodge county,12145,4076,7774
Minnesota,douglas county,24120,7868,15799
Minnesota,faribault county,7892,2531,5191
Minnesota,fillmore county,12104,4551,7301
Minnesota,freeborn county,16791,6889,9578
Minnesota,goodhue county,28566,11805,16052
Minnesota,grant county,3650,1300,2269
Minnesota,hennepin county,753159,532608,205966
Minnesota,houston county,11419,4853,6334
Minnesota,hubbard county,12927,4462,8202
Minnesota,isanti county,24162,7138,16491
Minnesota,itasca county,26502,10784,15232
Minnesota,jackson county,5809,1744,3945
Minnesota,kanabec county,9224,2774,6278
Minnesota,kandiyohi county,23313,8440,14437
Minnesota,kittson county,2630,1006,1546
Minnesota,koochiching county,6905,2659,4131
Minnesota,lac qui parle county,4034,1445,2529
Minnesota,lake county,7183,3647,3393
Minnesota,lake of the woods county,2405,671,1704
Minnesota,le sueur county,16775,5671,10775
Minnesota,lincoln county,3112,937,2121
Minnesota,lyon county,12860,4630,7979
Minnesota,mahnomen county,2302,1112,1142
Minnesota,marshall county,5101,1295,3721
Minnesota,martin county,10979,3305,7480
Minnesota,mcleod county,20888,6413,13986
Minnesota,meeker county,13496,3867,9358
Minnesota,mille lacs county,14666,4403,9953
Minnesota,morrison county,19523,4367,14819
Minnesota,mower county,19301,8899,10025
Minnesota,murray county,4883,1449,3363
Minnesota,nicollet county,19070,9622,9018
Minnesota,nobles county,8692,2933,5600
Minnesota,norman county,3434,1404,1954
Minnesota,olmsted county,91086,49492,39692
Minnesota,otter tail county,36310,11958,23800
Minnesota,pennington county,7260,2565,4532
Minnesota,pine county,15972,5419,10256
Minnesota,pipestone county,4932,1306,3553
Minnesota,polk county,15567,5439,9864
Minnesota,pope county,7002,2476,4413
Minnesota,ramsey county,294545,211397,77315
Minnesota,red lake county,2190,691,1454
Minnesota,redwood county,8268,2355,5771
Minnesota,renville county,8115,2496,5466
Minnesota,rice county,35608,17402,17463
Minnesota,rock county,5227,1556,3582
Minnesota,roseau county,8390,2182,6053
Minnesota,scott county,87729,40037,45871
Minnesota,sherburne county,55485,18064,36221
Minnesota,sibley county,8437,2417,5864
Minnesota,st. louis county,119190,67708,49016
Minnesota,stearns county,84644,31881,50959
Minnesota,steele county,21076,7917,12656
Minnesota,stevens county,5065,1921,3044
Minnesota,swift county,5185,1784,3316
Minnesota,todd county,13238,3286,9755
Minnesota,traverse county,1862,661,1172
Minnesota,wabasha county,13097,4696,8153
Minnesota,wadena county,7661,2023,5520
Minnesota,waseca county,10364,3496,6624
Minnesota,washington county,166266,89163,73764
Minnesota,watonwan county,5191,1987,3103
Minnesota,wilkin county,3435,1027,2333
Minnesota,winona county,27108,13333,13227
Minnesota,wright county,86501,30922,53697
Minnesota,yellow medicine county,5512,1687,3734
Mississippi,adams county,12268,6914,5222
Mississippi,alcorn county,15619,2741,12689
Mississippi,amite county,5963,2114,3781
Mississippi,attala county,6909,2644,4177
Mississippi,benton county,4254,1661,2553
Mississippi,bolivar county,11620,7203,4260
Mississippi,calhoun county,6531,1878,4592
Mississippi,carroll county,5640,1705,3887
Mississippi,chickasaw county,6534,2904,3488
Mississippi,choctaw county,4175,1170,2971
Mississippi,claiborne county,4338,3676,589
Mississippi,clarke county,8268,2815,5372
Mississippi,clay county,10037,5728,4147
Mississippi,coahoma county,7130,5189,1846
Mississippi,copiah county,10786,5227,5407
Mississippi,covington county,7826,2658,5083
Mississippi,desoto county,74889,27733,45788
Mississippi,forrest county,26483,10603,15326
Mississippi,franklin county,4428,1476,2894
Mississippi,george county,10926,1208,9602
Mississippi,greene county,5742,952,4740
Mississippi,grenada county,7830,2866,4889
Mississippi,hancock county,17382,3095,13999
Mississippi,harrison county,60844,18499,41281
Mississippi,hinds county,81615,59192,21242
Mississippi,holmes county,6529,5182,1196
Mississippi,humphreys county,4164,2994,1115
Mississippi,issaquena county,676,355,308
Mississippi,itawamba county,9818,1036,8656
Mississippi,jackson county,45406,12061,32563
Mississippi,jasper county,8636,4287,4256
Mississippi,jefferson county,3904,3325,529
Mississippi,jefferson davis county,6149,3557,2513
Mississippi,jones county,26465,7017,19130
Mississippi,kemper county,3934,2275,1609
Mississippi,lafayette county,17107,6904,9878
Mississippi,lamar county,23911,5821,17700
Mississippi,lauderdale county,30792,12668,17812
Mississippi,lawrence county,6560,2240,4254
Mississippi,leake county,8403,3358,4973
Mississippi,lee county,31684,9911,21297
Mississippi,leflore county,8169,5444,2623
Mississippi,lincoln county,14230,3978,10107
Mississippi,lowndes county,22252,10010,11918
Mississippi,madison county,45709,18931,26188
Mississippi,marion county,11321,3421,7783
Mississippi,marshall county,13051,6283,6591
Mississippi,monroe county,14441,4565,9677
Mississippi,montgomery county,3778,1507,2236
Mississippi,neshoba county,11681,3247,8311
Mississippi,newton county,8672,2542,6037
Mississippi,noxubee county,3979,2867,1057
Mississippi,oktibbeha county,16274,8243,7617
Mississippi,panola county,12697,5798,6756
Mississippi,pearl river county,23633,4068,19283
Mississippi,perry county,5819,1340,4426
Mississippi,pike county,14622,7328,7106
Mississippi,pontotoc county,14199,2580,11425
Mississippi,prentiss county,9520,1808,7596
Mississippi,quitman county,3208,2138,1020
Mississippi,rankin county,53278,13496,39025
Mississippi,scott county,9375,3575,5688
Mississippi,sharkey county,1729,1132,575
Mississippi,simpson county,10061,3384,6552
Mississippi,smith county,7285,1518,5697
Mississippi,stone county,6546,1208,5239
Mississippi,sunflower county,9485,6631,2755
Mississippi,tallahatchie county,5685,3105,2488
Mississippi,tate county,11249,3469,7594
Mississippi,tippah county,8802,1583,7119
Mississippi,tishomingo county,7919,839,6951
Mississippi,tunica county,3491,2525,912
Mississippi,union county,12579,2145,10289
Mississippi,walthall county,5718,2236,3426
Mississippi,warren county,16311,7625,8481
Mississippi,washington county,10497,6218,4114
Mississippi,wayne county,9978,3592,6264
Mississippi,webster county,5340,1024,4255
Mississippi,wilkinson county,4095,2730,1311
Mississippi,winston county,9176,4009,5084
Mississippi,yalobusha county,6503,2767,3658
Mississippi,yazoo county,9007,4533,4370
Missouri,adair county,10308,3705,6391
Missouri,andrew county,9753,2351,7256
Missouri,atchison county,2814,564,2199
Missouri,audrain county,10644,2703,7727
Missouri,barry county,15598,2948,12425
Missouri,barton county,6077,844,5168
Missouri,bates county,8413,1672,6595
Missouri,benton county,10469,2179,8106
Missouri,bollinger county,5977,749,5162
Missouri,boone county,91004,49999,38596
Missouri,buchanan county,36598,13445,22450
Missouri,butler county,18136,3301,14599
Missouri,caldwell county,4682,897,3725
Missouri,callaway county,21135,5868,14812
Missouri,camden county,24774,5640,18825
Missouri,cape girardeau county,40252,10738,28873
Missouri,carroll county,4531,785,3706
Missouri,carter county,2897,418,2451
Missouri,cass county,57355,19035,37172
Missouri,cedar county,7039,1143,5786
Missouri,chariton county,4074,916,3109
Missouri,christian county,46804,11126,34904
Missouri,clark county,3394,678,2672
Missouri,clay county,126618,59519,64583
Missouri,clinton county,10876,2894,7789
Missouri,cole county,39486,12687,26066
Missouri,cooper county,8690,2249,6272
Missouri,crawford county,10973,2113,8725
Missouri,dade county,4119,656,3414
Missouri,dallas county,8105,1380,6620
Missouri,daviess county,3875,740,3077
Missouri,dekalb county,4842,930,3827
Missouri,dent county,7142,1056,5987
Missouri,douglas county,6994,1012,5896
Missouri,dunklin county,10419,2200,8135
Missouri,franklin county,53644,14561,38034
Missouri,gasconade county,7923,1601,6222
Missouri,gentry county,3234,613,2580
Missouri,greene county,137567,53307,81312
Missouri,grundy county,4437,799,3585
Missouri,harrison county,3825,597,3198
Missouri,henry county,10776,2615,8019
Missouri,hickory county,5077,1054,3965
Missouri,holt county,2343,338,1976
Missouri,howard county,5089,1412,3552
Missouri,howell county,18637,3214,15174
Missouri,iron county,4592,945,3596
Missouri,jackson county,330425,198031,125897
Missouri,jasper county,52322,13539,37714
Missouri,jefferson county,116629,37507,77021
Missouri,johnson county,23085,6961,15468
Missouri,knox county,1854,340,1486
Missouri,laclede county,16783,2779,13755
Missouri,lafayette county,17038,4470,12262
Missouri,lawrence county,17900,3214,14421
Missouri,lewis county,4597,984,3541
Missouri,lincoln county,28814,6553,21702
Missouri,linn county,5700,1274,4344
Missouri,livingston county,6755,1409,5266
Missouri,macon county,7834,1661,6075
Missouri,madison county,5671,1017,4581
Missouri,maries county,4769,814,3890
Missouri,marion county,13339,3201,9910
Missouri,mcdonald county,9050,1437,7465
Missouri,mercer county,1779,222,1541
Missouri,miller county,12379,2038,10175
Missouri,mississippi county,4756,1178,3537
Missouri,moniteau county,7150,1307,5738
Missouri,monroe county,4467,931,3466
Missouri,montgomery county,5762,1206,4457
Missouri,morgan county,9484,1924,7439
Missouri,new madrid county,7248,1748,5447
Missouri,newton county,28332,5793,22090
Missouri,nodaway county,9874,2849,6855
Missouri,oregon county,4739,823,3847
Missouri,osage county,7449,1031,6341
Missouri,ozark county,4864,752,4064
Missouri,pemiscot county,5727,1556,4116
Missouri,perry county,9420,1661,7634
Missouri,pettis county,19069,4776,13835
Missouri,phelps county,19495,5619,13438
Missouri,pike county,7686,1717,5856
Missouri,platte county,58523,28111,29251
Missouri,polk county,15059,2883,11849
Missouri,pulaski county,14405,3735,10326
Missouri,putnam county,2361,361,1984
Missouri,ralls county,5662,1205,4396
Missouri,randolph county,10742,2485,8018
Missouri,ray county,11628,3107,8328
Missouri,reynolds county,3298,529,2733
Missouri,ripley county,5716,833,4838
Missouri,saline county,9514,2903,6447
Missouri,schuyler county,2003,373,1606
Missouri,scotland county,1983,387,1560
Missouri,scott county,17718,3753,13769
Missouri,shannon county,3905,706,3164
Missouri,shelby county,3349,592,2699
Missouri,st. charles county,221601,89346,128193
Missouri,st. clair county,4972,988,3930
Missouri,st. francois county,27996,7044,20506
Missouri,st. louis city,131765,108385,21185
Missouri,st. louis county,528075,322802,196808
Missouri,ste. genevieve county,9481,2713,6627
Missouri,stoddard county,13397,1814,11460
Missouri,stone county,18378,3486,14716
Missouri,sullivan county,2471,478,1974
Missouri,taney county,26173,5325,20426
Missouri,texas county,11315,1716,9478
Missouri,vernon county,9164,1902,7135
Missouri,warren county,18373,4769,13222
Missouri,washington county,9971,1804,8046
Missouri,wayne county,5874,844,4984
Missouri,webster county,18772,3572,14874
Missouri,worth county,1107,215,877
Missouri,wright county,8737,1167,7452
Montana,beaverhead county,5661,1608,3923
Montana,big horn county,4669,2401,2185
Montana,blaine county,3121,1589,1469
Montana,broadwater county,4056,830,3139
Montana,carbon county,6996,2412,4424
Montana,carter county,864,74,775
Montana,cascade county,39688,15384,23199
Montana,chouteau county,2958,988,1888
Montana,custer county,5855,1510,4204
Montana,daniels county,1014,195,799
Montana,dawson county,4825,962,3758
Montana,deer lodge county,4888,2562,2184
Montana,fallon county,1575,172,1375
Montana,fergus county,6463,1491,4830
Montana,flathead county,59810,20238,38233
Montana,gallatin county,70835,36964,31639
Montana,garfield county,813,41,764
Montana,glacier county,5608,3603,1882
Montana,golden valley county,503,78,414
Montana,granite county,2102,638,1419
Montana,hill county,7167,2972,3952
Montana,jefferson county,8151,2625,5345
Montana,judith basin county,1344,275,1040
Montana,lake county,16617,6911,9319
Montana,lewis and clark county,42261,19741,21407
Montana,liberty county,1083,249,821
Montana,lincoln county,11564,2812,8516
Montana,madison county,6081,1770,4186
Montana,mccone county,1128,155,956
Montana,meagher county,1110,258,833
Montana,mineral county,2562,686,1828
Montana,missoula county,71478,43351,26336
Montana,musselshell county,2881,413,2423
Montana,park county,11560,5277,6022
Montana,petroleum county,348,39,298
Montana,phillips county,2380,414,1936
Montana,pondera county,2994,903,2030
Montana,powder river county,1136,154,970
Montana,powell county,3171,752,2347
Montana,prairie county,744,126,603
Montana,ravalli county,28490,8757,19103
Montana,richland county,5789,874,4792
Montana,roosevelt county,4004,1902,1991
Montana,rosebud county,3771,1199,2485
Montana,sanders county,7634,1824,5664
Montana,sheridan county,2029,574,1402
Montana,silver bow county,18804,10442,7790
Montana,stillwater county,5690,1155,4430
Montana,sweet grass county,2446,549,1840
Montana,teton county,3679,1007,2608
Montana,toole county,2119,467,1596
Montana,treasure county,460,78,373
Montana,valley county,4261,1030,3135
Montana,wheatland county,1068,225,823
Montana,wibaux county,598,77,516
Montana,yellowstone county,81774,29936,49548
Nebraska,adams county,14602,4213,10085
Nebraska,antelope county,3583,452,3093
Nebraska,arthur county,284,21,260
Nebraska,banner county,410,43,362
Nebraska,blaine county,317,35,280
Nebraska,boone county,3217,499,2653
Nebraska,box butte county,5181,1051,4002
Nebraska,boyd county,1153,135,1010
Nebraska,brown county,1676,190,1468
Nebraska,buffalo county,23355,6292,16473
Nebraska,burt county,3709,1061,2560
Nebraska,butler county,4478,869,3526
Nebraska,cass county,15284,4737,10121
Nebraska,cedar county,4996,725,4174
Nebraska,chase county,1993,226,1740
Nebraska,cherry county,3265,373,2844
Nebraska,cheyenne county,4765,855,3813
Nebraska,clay county,3558,632,2848
Nebraska,colfax county,3717,1025,2636
Nebraska,cuming county,4412,862,3476
Nebraska,custer county,5877,768,4996
Nebraska,dakota county,6794,2744,3926
Nebraska,dawes county,4102,1076,2919
Nebraska,dawson county,9178,2497,6524
Nebraska,deuel county,1032,141,871
Nebraska,dixon county,3083,651,2335
Nebraska,dodge county,16835,5526,10963
Nebraska,douglas county,268417,146433,116696
Nebraska,dundy county,999,105,883
Nebraska,fillmore county,3134,693,2359
Nebraska,franklin county,1721,276,1434
Nebraska,frontier county,1440,189,1229
Nebraska,furnas county,2601,399,2163
Nebraska,gage county,11068,3385,7445
Nebraska,garden county,1195,161,1016
Nebraska,garfield county,1067,133,925
Nebraska,gosper county,1118,215,893
Nebraska,grant county,402,20,375
Nebraska,greeley county,1258,229,1016
Nebraska,hall county,23999,7551,15950
Nebraska,hamilton county,5520,1117,4297
Nebraska,harlan county,1928,282,1615
Nebraska,hayes county,532,34,492
Nebraska,hitchcock county,1464,174,1260
Nebraska,holt county,5531,683,4766
Nebraska,hooker county,442,59,376
Nebraska,howard county,3501,648,2786
Nebraska,jefferson county,3686,1009,2593
Nebraska,johnson county,2227,646,1517
Nebraska,kearney county,3591,699,2812
Nebraska,keith county,4364,763,3544
Nebraska,keya paha county,529,49,476
Nebraska,kimball county,1860,267,1553
Nebraska,knox county,4693,903,3719
Nebraska,lancaster county,152400,80513,68321
Nebraska,lincoln county,17107,3692,13071
Nebraska,logan county,450,38,407
Nebraska,loup county,454,75,370
Nebraska,madison county,15407,3393,11678
Nebraska,mcpherson county,302,17,275
Nebraska,merrick county,4242,740,3407
Nebraska,morrill county,2557,386,2113
Nebraska,nance county,1828,359,1437
Nebraska,nemaha county,3423,921,2428
Nebraska,nuckolls county,2296,409,1850
Nebraska,otoe county,8266,2481,5609
Nebraska,pawnee county,1429,322,1071
Nebraska,perkins county,1544,199,1321
Nebraska,phelps county,5009,752,4157
Nebraska,pierce county,4006,480,3462
Nebraska,platte county,15256,3208,11827
Nebraska,polk county,2870,527,2286
Nebraska,red willow county,5452,811,4525
Nebraska,richardson county,4018,981,2981
Nebraska,rock county,841,84,744
